id,direccion,esquina,colonia,alcaldia,boton,altavoz,tipo_de_poste,estatus_conectividad,latitud,longitud,geopoint
6625,C. 17,EJE CENTRAL LAZARO CARDENAS,PROGRESO NACIONAL,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.51964,-99.156912,"19.51964,-99.156912"
6626,NORTE 70  A,VICTORIA OTE.,FAJA DE ORO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.467806,-99.106437,"19.467806,-99.106437"
6627,DEL PAIS,ESQ. 27 DE SEPTIEMBRE,LAGUNA TICOMAN,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.517048,-99.132286,"19.517048,-99.132286"
6628,AV. PEÑAS NEGRAS,C. CORNELIO CEDILLO,EL TEPETATAL,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.560645,-99.137864,"19.560645,-99.137864"
6629,CDA DE PLAN DE AYALA,C. BENITO QUEZADA,TLALPEXCO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.548957,-99.125062,"19.548957,-99.125062"
6630,C. BRISAS,ENTRE AV. DE LA MAREJADA Y AND. 37,ACUEDUCTO DE GUADALUPE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.528771,-99.152067,"19.528771,-99.152067"
6631,AV. EJIDO,C. BENITO JUAREZ PONIENTE,25 DE JULIO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.495463,-99.080742,"19.495463,-99.080742"
6632,C. DELICIAS,C. SAUCES,TLALPEXCO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.54727,-99.125334,"19.54727,-99.125334"
6633,C. CUAUHTEMOC,C. 20 DE NOVIEMBRE,25 DE JULIO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.49497,-99.081591,"19.49497,-99.081591"
6634,AV. FERROCARRIL MEXICO,CALZ. DE LOS MISTERIOS,TEPEYAC INSURGENTES,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.480447,-99.120161,"19.480447,-99.120161"
